Column1,Reviews,P or N
375,강아지가 정말 좋아해요,97.29% 확률로 긍정 리뷰입니다.
376,애기가 잘먹어서 좋아요?,97.21% 확률로 긍정 리뷰입니다.
377,기호도짱 가격도짱이에요,98.44% 확률로 긍정 리뷰입니다.
378,꾸준히 먹이고 있습니다!,96.59% 확률로 긍정 리뷰입니다.
379,빠른배송으로 잘왔어요 !,94.94% 확률로 긍정 리뷰입니다.
380,애들이 너무잘먹어요!!,97.13% 확률로 긍정 리뷰입니다.
381,너무너무 잘먹어요 ‘ㅜㅜ,69.62% 확률로 긍정 리뷰입니다.
382,역시나 만족합니다.:),96.65% 확률로 긍정 리뷰입니다.
383,잘 먹음 좋겟네용ㅎㅎㅎ,92.91% 확률로 긍정 리뷰입니다.
384,잘먹어Dㅋㅋㅋㅋㅋㅋㅋㅋ,76.98% 확률로 긍정 리뷰입니다.
385,늘 이거만먹음 개좋아함,96.15% 확률로 긍정 리뷰입니다.
386,항상 먹이던거에요~~,97.44% 확률로 긍정 리뷰입니다.
387,맛있게 잘먹고있습니다,95.61% 확률로 긍정 리뷰입니다.
388,좋아요ㅋㅋㅋㅋㅋㅋㅋㅋ,88.90% 확률로 긍정 리뷰입니다.
389,애기가너무 잘먹어요!,96.37% 확률로 긍정 리뷰입니다.
